iter	SMAPE	RMSE	MAPE	MAE
319	39.11475374	1061.475346	0.5450616907	749.1720988
320	39.11848301	1061.451124	0.5450782395	749.1545653
321	39.10301148	1061.435342	0.5451239352	749.1394257
322	39.07274546	1061.372256	0.5451181362	749.0618016
323	39.07274298	1061.36853	0.545112654	749.0566494
324	39.08203124	1061.260908	0.5450251246	748.9594713
325	39.07939604	1061.260147	0.5450158588	748.9594204
326	39.07790566	1061.217578	0.5449978058	748.932697
327	39.05563748	1061.13179	0.5448033244	748.8560677
328	39.05647207	1061.098355	0.5447769825	748.8482219
329	39.05630896	1061.096885	0.544790799	748.8436506
330	39.05571739	1061.095289	0.5447943134	748.8421588
331	39.03904901	1061.012962	0.5447964295	748.7578981
332	39.03829847	1060.99976	0.5448131459	748.7480407
333	39.05357828	1060.779	0.5449020256	748.6717567
334	39.03824183	1060.759366	0.544897581	748.647167
335	39.04289099	1060.714816	0.5448771635	748.6290586
336	39.04259114	1060.694397	0.5448711718	748.6189888
337	39.02122831	1060.680878	0.5449308544	748.6042502
338	39.02297067	1060.636494	0.5449075216	748.5745898
339	39.04266167	1060.480964	0.5449808653	748.5122304
340	39.04265095	1060.479752	0.5449918984	748.507758
341	39.03993094	1060.474405	0.5449920081	748.4944711
342	39.04733962	1060.420538	0.5451199078	748.47578
343	39.047468	1060.419062	0.5451168112	748.4727934
344	39.04590158	1060.407277	0.545125423	748.4639169
345	39.04478891	1060.4056	0.5451313841	748.4627411
346	39.06803357	1059.980657	0.5450391431	748.2007107
347	39.05951706	1059.970008	0.54500328	748.183872
348	39.03463337	1059.934972	0.5449048528	748.1465514
349	39.03378251	1059.929845	0.5449167808	748.1476595
350	39.02294172	1059.907811	0.5448276375	748.1397311
351	39.01748589	1059.716534	0.5447185702	747.9832167
352	39.00734559	1059.710215	0.5447308648	747.9783006
353	38.98605658	1059.69388	0.5447693406	747.9721322
354	38.97967727	1059.61399	0.544696856	747.8897907
355	38.97834244	1059.608313	0.5446909014	747.8890698
356	38.97735329	1059.598987	0.5446707957	747.8898625
357	38.96989412	1059.551116	0.5448586085	747.87027
358	38.99149846	1059.321492	0.5449166947	747.7766593
359	38.9747506	1059.130365	0.5448005291	747.6712912
360	38.97464349	1059.122632	0.5447865747	747.6601067
361	38.9657288	1058.967628	0.5447174427	747.5168682
362	38.96475323	1058.962505	0.5447094945	747.5158125
363	38.98000462	1058.931004	0.5447932581	747.4948166
364	38.9762314	1058.818102	0.5447376612	747.4120545
365	38.97630531	1058.802329	0.5447352697	747.4035176
366	38.97562995	1058.801058	0.5447373361	747.4011427
367	38.9950166	1058.769027	0.5446864741	747.3548267
368	39.01131099	1058.609634	0.5447828778	747.2991891
369	39.00686636	1058.590424	0.5445628576	747.2648175
370	39.00756348	1058.574453	0.5445631172	747.2554675
371	39.00878964	1058.563638	0.5445648885	747.2495434
372	39.02974434	1058.266208	0.5447179539	746.9870784
373	39.03070285	1058.257693	0.5447200307	746.9851052
374	39.03080866	1058.215021	0.5447261424	746.9660178
375	39.04568472	1058.117468	0.5448871297	746.8933563
376	39.04536121	1058.10295	0.5448826081	746.883611
377	39.03961904	1058.095392	0.5448778167	746.8662861
378	39.0496077	1057.919636	0.5448436759	746.8703516
379	39.03425878	1057.879618	0.544820147	746.862297
380	39.03234022	1057.871212	0.5447848566	746.8308138
381	39.03097862	1057.866839	0.54477112	746.8260685
382	39.03252402	1057.857041	0.5447683956	746.8196497
383	39.02953625	1057.849724	0.5447704405	746.8167338
